"title, publication, authors, date, year, month, url, content"
More ripples in state attorney's office follow Jussie Smollett case,www.foxnews.com,Republican1865,04-20-2019,2019,4,https://www.foxnews.com/us/more-ripples-in-state-attorneys-office-after-smollett-case#6d022a2d9e8201a84fecb3481fccaad5,"Two tiers of justice. The right way, and the ""Chicago"" way."
More ripples in state attorney's office follow Jussie Smollett case,www.foxnews.com,Bongosareprimatve,04-20-2019,2019,4,https://www.foxnews.com/us/more-ripples-in-state-attorneys-office-after-smollett-case#d030fd1ac843bd0ad27ec25be6a2261e,The obama race first way
More ripples in state attorney's office follow Jussie Smollett case,www.foxnews.com,obamakeepswinning,04-20-2019,2019,4,https://www.foxnews.com/us/more-ripples-in-state-attorneys-office-after-smollett-case#82536c49cae39d368885013d921d8794,And the Trump way. But the blue wave is on it
"Bongino: The more we find out about Avenatti, the creepier he becomes | On Air Videos",video.foxnews.com,foxnews.com,04-19-2019,2019,4,http://video.foxnews.com/v/6028129584001/,"Dan Bongino wraps up the most explosive news stories of the week on 'Tucker Carlson Tonight.'""> <meta name=""prism.channel"" content=""fnc"
More ripples in state attorney's office follow Jussie Smollett case,www.foxnews.com,LEATHERNECK49,04-20-2019,2019,4,https://www.foxnews.com/us/more-ripples-in-state-attorneys-office-after-smollett-case#f6679b642591a6e749f510b442906c2a,Isn't there a deep dive into this issue? I thought there was an ongoing investigation into this. I am sitting back awaiting the fallout of this failure of a system that has been plaguing Chicago. Let this be the straw that broke the camels back.
More ripples in state attorney's office follow Jussie Smollett case,www.foxnews.com,HaveBikeWillTravel789,04-20-2019,2019,4,https://www.foxnews.com/us/more-ripples-in-state-attorneys-office-after-smollett-case#eca7cb6e9e90c28affab843337d25d58,Keep up good face. Tears will be flowing soon. Own it you all lost.
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,Puddinhead48,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#5e95930b4f00de9d955a928a74a03c00,"A Gentleman Sportsman, and a great one."
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,BillB92,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#70db894770e9e1c92064513e7c7176e6,Liked how he shared the moment with his boy. We mess up in this life but the one thing that matters most is not screwing up with our kids.
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,lookinthesand,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#ff7e9fb917c049f0a64832a15dae4ef9,The NFL could learn a lot from Tiger Woods.
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,Kasey37,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#10097873df093c7c2e68a3a2fd1a2eb5,"Never seen so many top 10 players choking. Looked fishy to me. Great for golf . . unless of course, the fix was in, (like the Patriots march to the SB), which we will never know. Many 1st's for a major, including the MSM talking about the dude that won a cool 1.2 mil . . also never seen so many leaderboard hound dogs fighting to stand in line to shake his hand."
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,ssnchief414,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#2eca78d213267231a352c6f870287a2d,Not when you're playing for those stakes.
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,AmericanAlways,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#921261badd2d5553f6eaf8dd515c2140,Tiger Woods oriental heritage is showing. His mother can be proud.
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,ShineWittleWightShineAway,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#be741efa9b29880d8cb227cd4c5be18c,"Yer kids need to see you at work. If you can get them a job working with you, when old enough...the fun begins. I'll bet Tiger's son will be with him regularly"
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,Joecommenter,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#922c13d0f667f74b5f694f295e5757db,Congrats Tiger!
Phil Knight on Tiger Woods’ 2019 Masters win: ‘Gave me goosebumps’ and ‘a few tears’,www.foxnews.com,Redjac,04-19-2019,2019,4,https://www.foxnews.com/sports/phil-knight-on-tiger-woods-2019-masters-win-gave-me-goosebumps-and-a-few-tears#dc8eb3fd27e1de5d54e86e0e49a9919c,Golfers are such little girls it's unbelievable. It's a freaking game for cryin out loud!
Kentucky BBQ restaurant slammed for 'LGBTQ' shirts deemed offensive,www.foxnews.com,4SouthOregon,04-19-2019,2019,4,https://www.foxnews.com/food-drink/kentucky-bbq-restaurant-lgbtq-shirts#36937e555f1f3a56960aec1271774d90,"Run, don’t walk. Get these shirts copyrighted. You’ve struck proverbial gold here! And yea, I want to know how to buy a few."
Kentucky BBQ restaurant slammed for 'LGBTQ' shirts deemed offensive,www.foxnews.com,Capperino1,04-19-2019,2019,4,https://www.foxnews.com/food-drink/kentucky-bbq-restaurant-lgbtq-shirts#1ee700f3a4ba431d312bdad007e453cf,Great shirt for Earth Day: Front: Earth First Back: We'll mine the other planets later.
Kentucky BBQ restaurant slammed for 'LGBTQ' shirts deemed offensive,www.foxnews.com,Dryhumordad,04-19-2019,2019,4,https://www.foxnews.com/food-drink/kentucky-bbq-restaurant-lgbtq-shirts#54de2d3d5ccec9014ad3bb282607ddb8,"The next shirt they sell should say, ""1st remove pantie wad. 2nd enjoy BBQ."""
Kentucky BBQ restaurant slammed for 'LGBTQ' shirts deemed offensive,www.foxnews.com,pir8fan,04-19-2019,2019,4,https://www.foxnews.com/food-drink/kentucky-bbq-restaurant-lgbtq-shirts#07445a15c7c23013eaca84f199abc3b6,Love it. The alphabet people need to get over themselves.
Kentucky BBQ restaurant slammed for 'LGBTQ' shirts deemed offensive,www.foxnews.com,Daisy_Leaf,04-19-2019,2019,4,https://www.foxnews.com/food-drink/kentucky-bbq-restaurant-lgbtq-shirts#097ee85b9e2ab48c2b3511a0223476b5,Where can I buy one ?
Kentucky BBQ restaurant slammed for 'LGBTQ' shirts deemed offensive,www.foxnews.com,ProudWhiteNationalist!!,04-19-2019,2019,4,https://www.foxnews.com/food-drink/kentucky-bbq-restaurant-lgbtq-shirts#c5a1cb170295f5a421492ec21052fe69,I think its less than 1% for these whack jobs. We are doomed.
Kentucky BBQ restaurant slammed for 'LGBTQ' shirts deemed offensive,www.foxnews.com,HorseIips,04-19-2019,2019,4,https://www.foxnews.com/food-drink/kentucky-bbq-restaurant-lgbtq-shirts#42c24c435e72856c69ca436a60194e02,"I see that once again, the 96.4% is generously accommodating the different 3.6% in the name of freedom and individualism and other cherished American ideals."
Kentucky BBQ restaurant slammed for 'LGBTQ' shirts deemed offensive,www.foxnews.com,LiberalsGotTrumped,04-19-2019,2019,4,https://www.foxnews.com/food-drink/kentucky-bbq-restaurant-lgbtq-shirts#2a76ef2aae6ab3aae8aab4773eb8b900,Awesome shirt !!! They should also make a shirt that says... I support PETA People Eating Tasty Animals
